celltype	cellgroup	cellgroup2
M11_Macro_C1QC	Macro	Macro
M11_Macro_ISG15	Macro	Macro
M11_Macro_LYVE1	Macro	Macro
M12_Macro_LYVE1	Macro	Macro
M13_Macro_INHBA	Macro	Macro
Macrophage	Macro	Macro
MACROPHAGE:	Macro	Macro
Macrophages	Macro	Macro
Macrophages M0	Macro	Macro
Macrophages M1	Macro	Macro
Macrophages M2	Macro	Macro
Pleural Mac	Macro	Macro
TAM HLAhi	Macro	Macro
TAM HLAint	Macro	Macro
TAM ISGhi	Macro	Macro
TAM ISGint	Macro	Macro
VSIR-Hi TAM	Macro	Macro
cMA01 (Mast)	Mast	Mast
M01_Mast_KIT	Mast	Mast
Mast	Mast	Mast
MAST	Mast	Mast
Mast cell	Mast	Mast
Mast cells activated	Mast	Mast
Mast cells resting	Mast	Mast
MAST:	Mast	Mast
Mast_cell	Mast	Mast
Mast_NA	Mast	Mast
mDC:	DC_mDC	DC
Megakaryocyte	Megakaryocyte	misc
Melanocytes	Melanocytes	misc
Mesothelial cells	Meso	misc
Microglia/Mac	MicrogliaMac	Myeloid
-1	misc	misc
?	misc	misc
Ambiguous	misc	misc
Ambiguous/Dead	misc	misc
AT1	misc	misc
AT2	misc	misc
CD207+CD1a+ LCs	misc	misc
CD45- ccRCC CA9+	misc	misc
cE01 (Stem/TA-like)	misc	misc
cE02 (Stem/TA-like/Immature Goblet)	misc	misc
cE03 (Stem/TA-like prolif)	misc	misc
cE04 (Enterocyte 1)	misc	misc
cE05 (Enterocyte 2)	misc	misc
cE06 (Immature Goblet)	misc	misc
cE07 (Goblet/Enterocyte)	misc	misc
cE08 (Goblet)	misc	misc
cE09 (Best4)	misc	misc
cE10 (Tuft)	misc	misc
cE11 (Enteroendocrine)	misc	misc
Ciliated	misc	misc
Club	misc	misc
COL13A1+ matrix FBs	misc	misc
COL14A1+ matrix FBs	misc	misc
cTNI22 (cTNI22)	misc	misc
cTNI26 (ILC3)	misc	misc
Enteric_glia	misc	misc
EPCs	misc	misc
FB-like cells	misc	misc
group	misc	misc
live	misc	misc
Live	misc	misc
Misc/Undetermined	misc	misc
NA	misc	misc
TAM/TCR (Ambiguos)	misc	misc
TP1	misc	misc
TP2	misc	misc
tS1	misc	misc
tS2	misc	misc
tS3	misc	misc
Undetermined	misc	misc
CD14+ Monocyte	Mono	Mono
CD14+/CD16+ Monocyte	Mono	Mono
CD16- Monocyte	Mono	Mono
CD16+ Monocyte	Mono	Mono
cM01 (Monocyte)	Mono	Mono
M04_Mono_CD14	Mono	Mono
M05_Mono_CD14	Mono	Mono
M05_Mono_CD16	Mono	Mono
M06_Mono_CD14	Mono	Mono
M06_Mono_CD14CD16	Mono	Mono
M07_Mono_CD16	Mono	Mono
Monocyte	Mono	Mono
MONOCYTE:	Mono	Mono
MONOCYTE:precursor	Mono	Mono
Monocytes	Mono	Mono
mo-Mac	MonoMac	Myeloid
Myeloid_Mo/M<U+03C6>	MonoMac	Myeloid
cM09 (mregDC)	DC_mreg	DC
MitoHigh Myeloid	Myeloid	Myeloid
Myeloid	Myeloid	Myeloid
Myeloid.1	Myeloid	Myeloid
Myeloid.2	Myeloid	Myeloid
Myeloid.3	Myeloid	Myeloid
Myeloid.4	Myeloid	Myeloid
Myeloid.5	Myeloid	Myeloid
Myeloid.6	Myeloid	Myeloid
Myeloid.7	Myeloid	Myeloid
Myeloid_PMN	Myeloid	Myeloid
Proliferating myeloid cell	Myeloid	Myeloid
CD45- Myofibroblast	Myofibro	Fibro
cS26 (Myofibro)	Myofibro	Fibro
Myofibroblasts	Myofibro	Fibro
NEUTROPHIL:	Neutrophil	Granulo
Neutrophils	Neutrophil	Granulo
Conventional NK	NK	NK
cTNI23 (NK CD16A+)	NK	NK
cTNI24 (NK GZMK+)	NK	NK
cTNI25 (NK XCL1+)	NK	NK
FGFBP2- NK	NK	NK
FGFBP2+ NK	NK	NK
MitoHigh NK	NK	NK
NK	NK	NK
NK cell.1	NK	NK
NK cell.2	NK	NK
NK cell.3	NK	NK
NK cells activated	NK	NK
NK cells resting	NK	NK
NK HSP+	NK	NK
NK.Cell	NK	NK
NK:CD56+16+3-	NK	NK
NK:CD56+16+3+NKT	NK	NK
NK:CD56-16+3-	NK	NK
NK_cells	NK	NK
NK_NA	NK	NK
Proliferating NK cell	NK	NK
NKT	NKT	NK
cM07 (pDC)	DC_pDC	DC
M01_pDC_LILRA4	DC_pDC	DC
M02_pDC_LILRA4	DC_pDC	DC
Myeloid_pDC	DC_pDC	DC
pDC	DC_pDC	DC
pDC:	DC_pDC	DC
pDCs	DC_pDC	DC
cS15 (Pericyte)	Pericyte	misc
cS16 (Pericyte)	Pericyte	misc
cS17 (Pericyte)	Pericyte	misc
cS18 (Pericyte)	Pericyte	misc
cS19 (Pericyte)	Pericyte	misc
cS20 (Pericyte prolif)	Pericyte	misc
Pericytes	Pericyte	misc
cP1 (Plasma IgA)	Plasma	Plasma
cP2 (Plasma IgG)	Plasma	Plasma
cP3 (Plasma IgG prolif)	Plasma	Plasma
Plasma cell	Plasma	Plasma
Plasma cell_NA	Plasma	Plasma
Plasma cells	Plasma	Plasma
Plasma_cells	Plasma	Plasma
cS33 (Schwann)	Schwann	misc
cS32 (Smooth Muscle)	Smooth Muscle	misc
Smooth muscle cells	Smooth Muscle	misc
CD3	T	T
CD3 & CD45	T	T
CD3 & CD45 (+ partly live cells)	T	T
CD3&CD45	T	T
CD8 low T	T	T
CD8+/CD4+ Mixed Th	T	T
cTNI17 (gd-like T)	T	T
cTNI18 (gd-like T PDCD1+)	T	T
cTNI19 (gd-like T prolif)	T	T
cTNI20 (PLZF+ T)	T	T
cTNI21 (PLZF+ T prolif)	T	T
DP T cell	T	T
Exhausted Tfh	T	T
Naive	T	T
T cell	T	T
T cells follicular helper	T	T
T cells_NA	T	T
T.cell	T	T
T_cell	T	T
Tcell_prolif	T	T
Tfh	T	T
Th17	T	T
cTNI08 (CD4+ Treg)	Treg	T
cTNI09 (CD4+ Treg prolif)	Treg	T
T cells regulatory (Tregs)	Treg	T
T:Reg	Treg	T
Treg	Treg	T
T-Reg	Treg	T
Tregs	Treg	T
Cancer	Tumor	misc
Cycling Tumor	Tumor	misc
Mal	Tumor	misc
Malignant cells	Tumor	misc
Tumor ECs	Tumor	misc
Tumor_1	Tumor	misc
Tumor_2	Tumor	misc
